id,Categories,Response,Further Responses,Notes,
,NORAD Tracks Santa,"Welcome to NORAD Tracks Santa. On December 24th, NORAD conducts a special mission tracking Santa across the globeand keeping him safe during his journey. Would you like to track Santa?","[Yes] Santa is on vacation. There are 144 days till Christmas. Would you like a fact from the Top-Secret Santa philes? [Yes] When Santa takes off, his sleigh weighs 75,000 gumdrops, and when it lands it weighs 80,000 gumdrops because of ice and snow accumulation. Would you like to hear another fact? [Yes] Santa visits all homes, in every country, where there are children who believe in him. Would you like to hear another fact? [Yes] It’s hard to know for sure, but nor ad intelligence indicates that Santa is at least 16 centuries old! Would you like to hear another fact? [No] <Short Audio File>",,
,Hide and Seek,"Welcome to the Hide and Seek skill. Find your favorite hiding spot nearby, and then say start a new game",[Start a new game] Are you behind your Mom? [No] Are you in front of the sink? [No] Are you inside a closet? [No] Yay! You win! I haven't found you after three tries. That was a great hiding spot. Please play again with me soon!. [Start a new game] Are you inside a closet? [Yes] Yay! I found you! That was so much fun. I win this time. Please play again with me soon!.,,
,Lets Add,"Hi. Welcome, to let's add. Let me quiz you, with addition problems. How high would you like me to go? I can go as high as 20 plus 20. For example, to go up to 3 plus 3 , just say, 3 plus 3. So let's get started, how high do you want me to go?","[20 plus 20] Got it. So I will quiz you up to 20 plus 20. Do you want me to ask them in order? [No] Sounds good. I'll shuffle the questions. There are four hundred questions. Let's get started. What is 13 plus 17? [30] Sorry, I did not hear your answer. Let's try again. What is 13 plus 17? [Thirty] You got it. What is 20 plus 18? [Twenty One] Sorry, that's incorrect. 16 plus 4 is not 21. The correct answer is 20. What is 15 plus 11? [Twenty Six] nice. What is 17 plus 2? [Nineteen] Correct. What is 9 plus 6? [15] Sorry, I did not hear your answer. Let's try again. What is 9 plus 6? [Fifteen] Correct. What is 8 plus 2? [Ten] Keep it up. What is 19 plus 9? [Twenty eight] Correct. What is 14 plus 6? [Twenty] Keep it up. What is 11 plus 18? [Twenty nine] OK. What is 18 plus 13? [Twenty One] That's not correct. 18 plus 13 is not 21. The correct answer is 31. What is 7 plus 13? [Twenty] nice. What is 9 plus 8? [Seventeen] Excellent. What is 20 plus 13? [Thirty Three] Correct. What is 20 plus 19? [Thirty nine] Awesome. What is 1 plus 2? [Three] Right. What is 14 plus 3? [Seventeen] nice. What is 12 plus 12? [Stop] Did you want me to stop? [Yes] OK. Out of four hundred questions, you got 15 right, and 2 wrong. Thanks for using, let's add. Please rate, lets add, in the alexa application.",Asks for ratings,
,Little Red Riding Hood,"Hello here is an exciting new version of Little red riding hood from ketka .. Enjoy!You can stop at anytime or go back one step after every choice if you want to, just say ""go back"" <Followed by short audio>","<What should she choose, the town, or the forest?> [The town] <Choose: eat the cupcakes, or ""no""> [No] <Go straight to grandma's, or go shopping instead?> [No chance for response]",Told primarily through audio clips - I transcribed some of the choices presented in the Further Responses section,
,Goodnight Kiddo – Sleep Meditations for Kids,<Short audio>,"<would you like to go on a peaceful journey or a moonlight dream? [Peaceful journey] <You have selected peaceful journey, a six minute meditation. Snuggle in and sleep tight>",Uses audio clips (transcribed) and the audio player (Not supported),
,Oodle Oodler!,"I can translate into many languages. To try it, ask, how do you say good morning in Spanish?",,Unrecognized as a skill,
,Animal Sounds,Welcome to animal sounds! Just ask me for an animal you would like to hear!,"[Pig] <Pig oink> Try once more. [Wolf] <Wolf howl> Try once more. [Hawk] <Hawk caw> Try once more. [Shark] Sorry, an error occurred. [Stop] Goodbye.",The animal sounds are played through audio clips,
,A - Z Animals,Welcome to the A to Z Animal Game. For each letter I say tell me an animal that starts with that letter. Are you ready to start the game?,"[Yes] First question, What is an animal that starts with A? [Anaconda] Nice try but anaconda is not an animal that starts with the letter A. . Next up, What is an animal that starts with B? [Bird] Nice try but bird is not an animal that starts with the letter B. . Next up, What is an animal that starts with C? [Chicken] Good job! The animal chicken does start with the letter C. . Next up, What is an animal that starts with D? [Dog] Good job! The animal dog does start with the letter D. . Next up, What is an animal that starts with E? [Elephant] Good job! The animal elephant does start with the letter E. . Next up, What is an animal that starts with F? [Fox] Good job! The animal fox does start with the letter F. . Next up, What is an animal that starts with G? [Gorilla] Good job! The animal gorilla does start with the letter G. . Next up, What is an animal that starts with H? [Hawk] Good job! The animal hawk does start with the letter H. . Next up, What is an animal that starts with I? [Iguana] Good job! The animal iguana does start with the letter I. . Next up, What is an animal that starts with J? Good job! The animal jellyfish does start with the letter J. . Next up, What is an animal that starts with K? [Stop] Okay, see you next time, goodbye!",,
,Text Santa,"Hmm, I found a few skills that might help.",,Unrecognized as a skill,
,Animal Sounds | My National Zoo | 101+ Animals,,,Possible repeat (Animal Sounds),
